Acoupar.exe - ISO3382 Acoustical Parameter File
Filename	Lsg_31.5 	Lsg_63   	Lsg_125  	Lsg_250  	Lsg_500  	Lsg_1000 	Lsg_2000 	Lsg_4000 	Lsg_8000 	Lsg_16000	Lsg_A    	Lsg_Lin  	Lno_31.5 	Lno_63   	Lno_125  	Lno_250  	Lno_500  	Lno_1000 	Lno_2000 	Lno_4000 	Lno_8000 	Lno_16000	Lno_A    	Lno_Lin  	StG_31.5 	StG_63   	StG_125  	StG_250  	StG_500  	StG_1000 	StG_2000 	StG_4000 	StG_8000 	StG_16000	StG_A    	StG_Lin  	C50_31.5 	C50_63   	C50_125  	C50_250  	C50_500  	C50_1000 	C50_2000 	C50_4000 	C50_8000 	C50_16000	C50_A    	C50_Lin  	C80_31.5 	C80_63   	C80_125  	C80_250  	C80_500  	C80_1000 	C80_2000 	C80_4000 	C80_8000 	C80_16000	C80_A    	C80_Lin  	D50_31.5 	D50_63   	D50_125  	D50_250  	D50_500  	D50_1000 	D50_2000 	D50_4000 	D50_8000 	D50_16000	D50_A    	D50_Lin  	ts _31.5 	ts _63   	ts _125  	ts _250  	ts _500  	ts _1000 	ts _2000 	ts _4000 	ts _8000 	ts _16000	ts _A    	ts _Lin  	EDT_31.5 	EDT_63   	EDT_125  	EDT_250  	EDT_500  	EDT_1000 	EDT_2000 	EDT_4000 	EDT_8000 	EDT_16000	EDT_A    	EDT_Lin  	Tus_31.5 	Tus_63   	Tus_125  	Tus_250  	Tus_500  	Tus_1000 	Tus_2000 	Tus_4000 	Tus_8000 	Tus_16000	Tus_A    	Tus_Lin  	T20_31.5 	T20_63   	T20_125  	T20_250  	T20_500  	T20_1000 	T20_2000 	T20_4000 	T20_8000 	T20_16000	T20_A    	T20_Lin  	T30_31.5 	T30_63   	T30_125  	T30_250  	T30_500  	T30_1000 	T30_2000 	T30_4000 	T30_8000 	T30_16000	T30_A    	T30_Lin  	IACCe_31.5 	IACCe_63   	IACCe_125  	IACCe_250  	IACCe_500  	IACCe_1000 	IACCe_2000 	IACCe_4000 	IACCe_8000 	IACCe_16000	IACCe_A    	IACCe_Lin  	tIACC_31.5 	tIACC_63   	tIACC_125  	tIACC_250  	tIACC_500  	tIACC_1000 	tIACC_2000 	tIACC_4000 	tIACC_8000 	tIACC_16000	tIACC_A    	tIACC_Lin  	wIACC_31.5 	wIACC_63   	wIACC_125  	wIACC_250  	wIACC_500  	wIACC_1000 	wIACC_2000 	wIACC_4000 	wIACC_8000 	wIACC_16000	wIACC_A    	wIACC_Lin  
G:\2020_CATALUNYA_JULY\08_07_2020\Coco de la Gralla\ZYLIA/output/2020_CATALUNYA_JULYTest1_W_WY.wav	31.495	45.783	48.810	51.488	57.409	63.447	62.811	61.653	57.306	67.738	69.974	70.676	-6.936	-11.513	-25.439	-42.076	-64.843	-99.052	-114.889	-117.431	-127.845	-131.543	-73.599	-38.507	-37.505	-23.217	-20.190	-17.512	-11.591	-5.553	-6.189	-7.347	-11.694	-1.262	-7.026	-8.324	7.133	18.432	18.861	21.800	27.704	25.227	25.166	25.578	24.498	31.846	26.102	26.511	9.882	22.959	24.371	27.589	31.444	30.919	30.395	31.570	32.892	42.577	31.791	32.123	72.312	98.521	98.491	99.337	99.769	99.641	99.630	99.691	99.645	99.932	99.732	99.769	13781.070	2055.344	369.657	122.798	54.057	35.916	30.032	21.264	15.308	5.821	18.298	15.874	1.400	0.197	0.177	0.145	0.070	0.062	0.067	0.072	0.081	0.040	0.064	0.061	0.280	0.201	0.153	0.191	0.082	0.068	0.118	0.091	0.096	0.080	0.091	0.090	0.333	0.194	0.232	0.192	0.117	0.139	0.136	0.128	0.128	0.096	0.126	0.126	--	--	--	--	0.143	--	0.209	0.187	0.186	0.112	0.203	0.223	0.775	0.945	0.481	0.649	0.649	0.650	0.674	0.635	0.290	0.647	0.471	0.445	1.000	1.000	1.000	-0.146	-0.062	0.000	0.000	0.312	0.125	-0.104	0.042	0.042	0.000	0.688	0.104	0.479	0.312	0.146	0.083	0.042	0.042	0.042	0.062	0.042
G:\2020_CATALUNYA_JULY\08_07_2020\Coco de la Gralla\ZYLIA/output/2020_CATALUNYA_JULYTest2_W_WY.wav	26.905	46.709	51.428	50.863	57.503	65.521	63.942	62.408	60.267	64.721	70.863	70.996	-18.554	-16.638	-29.253	-46.098	-67.208	-99.432	-112.986	-116.408	-121.480	-132.343	-88.312	-45.384	-42.095	-22.291	-17.572	-18.137	-11.497	-3.479	-5.058	-6.592	-8.733	-4.279	-6.137	-8.004	13.748	20.553	22.625	22.649	29.321	30.225	27.850	26.150	26.844	28.597	28.164	27.981	17.120	27.173	27.675	29.347	34.977	37.535	32.722	32.252	35.286	39.349	34.285	34.113	95.803	99.117	99.452	99.273	99.861	99.894	99.786	99.742	99.781	99.861	99.825	99.827	102339.617	1222.156	161.239	86.615	46.315	28.417	34.126	16.240	14.038	7.952	19.925	18.767	0.376	0.190	0.147	0.112	0.098	0.062	0.075	0.066	0.053	0.055	0.064	0.065	0.499	0.143	0.164	0.148	0.098	0.084	0.089	0.078	0.087	0.081	0.084	0.086	0.268	0.197	0.189	0.151	0.094	0.086	0.115	0.118	0.121	0.112	0.104	0.106	--	--	--	--	0.108	0.104	0.133	0.186	0.152	0.123	0.125	0.141	0.000	0.000	0.786	0.432	0.166	0.048	0.194	0.429	0.473	0.515	0.090	0.086	0.000	0.000	-0.062	0.812	1.000	-0.854	0.458	0.125	-0.188	-0.167	0.438	0.375	0.000	0.000	1.000	0.500	0.667	0.167	0.104	0.042	0.062	0.042	0.104	0.042
G:\2020_CATALUNYA_JULY\09_07_2020\Abric de Libreres\Zylia/output/2020_CATALUNYA_JULYtest1_W_WY.wav	35.259	44.255	49.629	58.031	60.494	66.154	66.147	63.976	61.978	66.693	72.548	72.917	-8.047	-7.637	-21.449	-41.133	-71.057	-100.046	-123.688	-126.507	-132.235	-132.599	-77.357	-36.904	-33.741	-24.745	-19.371	-10.969	-8.506	-2.846	-2.853	-5.024	-7.022	-2.307	-4.452	-6.083	11.231	12.574	14.615	26.276	29.561	29.901	27.742	25.635	25.250	25.918	27.483	26.988	14.305	17.499	20.880	29.748	33.906	33.601	33.238	31.957	32.892	34.611	33.255	32.626	91.067	94.746	96.099	99.752	99.878	99.891	99.806	99.708	99.700	99.741	99.806	99.792	46928.332	5045.808	1372.990	217.782	91.423	36.793	44.919	28.495	24.372	10.172	27.982	27.662	0.441	0.325	0.224	0.081	0.091	0.061	0.073	0.090	0.113	0.111	0.082	0.087	0.430	0.320	0.293	0.180	0.093	0.088	0.096	0.104	0.097	0.114	0.099	0.104	0.843	0.604	0.299	0.114	0.089	0.099	0.116	0.128	0.116	0.121	0.114	0.116	1.245	0.980	0.544	0.268	0.160	0.144	0.182	0.198	0.170	0.150	0.182	0.192	0.000	0.000	0.000	0.799	0.566	0.348	0.514	0.610	0.315	0.484	0.202	0.155	0.000	0.000	0.000	0.979	-1.000	0.458	-0.250	0.146	-0.083	0.042	-0.208	0.500	0.000	0.000	0.000	0.500	0.396	0.125	0.083	0.062	0.042	0.042	0.083	0.062
G:\2020_CATALUNYA_JULY\09_07_2020\Abric de Libreres\Zylia/output/2020_CATALUNYA_JULYtest2_W_WY.wav	36.047	52.067	54.420	57.929	62.393	69.824	68.567	63.985	61.215	71.546	74.663	75.228	-0.347	-1.061	-19.415	-35.539	-63.668	-96.831	-117.640	-124.778	-132.116	-132.461	-73.519	-27.871	-32.953	-16.933	-14.580	-11.071	-6.607	0.824	-0.433	-5.015	-7.785	2.546	-2.337	-3.772	14.012	15.945	19.070	23.431	28.068	29.810	28.354	25.434	24.541	29.895	28.011	27.765	16.875	23.199	27.140	25.644	34.528	35.847	34.659	31.220	31.574	39.249	34.347	33.809	96.163	97.512	98.771	99.512	99.843	99.896	99.845	99.710	99.648	99.898	99.840	99.833	21878.160	492.548	252.956	39.485	36.967	17.216	19.339	20.398	18.422	9.311	15.744	15.316	0.430	0.256	0.208	0.131	0.086	0.095	0.113	0.122	0.117	0.085	0.110	0.109	0.243	0.194	0.121	0.139	0.133	0.120	0.103	0.100	0.103	0.120	0.103	0.110	0.468	0.244	0.195	0.172	0.110	0.098	0.094	0.115	0.123	0.118	0.101	0.105	--	0.666	0.318	0.280	0.134	0.128	0.153	0.206	0.194	0.121	0.157	0.165	0.148	0.555	0.303	0.568	0.790	0.681	0.653	0.407	0.247	0.580	0.530	0.498	1.000	1.000	0.938	-0.917	0.042	0.000	0.021	0.000	0.312	-0.167	-0.021	0.042	0.083	0.167	1.146	0.521	0.292	0.167	0.104	0.062	0.042	0.042	0.104	0.042
G:\2020_CATALUNYA_JULY\10_07_2020\_Barranc de la Parallelada III\ZYLIA/output/2020_CATALUNYA_JULYTest1_W_WY.wav	25.663	45.369	52.837	57.084	57.977	63.258	61.003	60.085	58.945	63.750	68.611	69.338	-0.572	-3.171	-15.268	-26.849	-57.935	-94.585	-106.856	-91.690	-101.146	-116.203	-64.174	-27.777	-43.337	-23.631	-16.163	-11.916	-11.023	-5.742	-7.997	-8.915	-10.055	-5.250	-8.389	-9.662	-nan(ind)	13.333	19.548	24.605	28.813	27.914	24.082	13.763	18.997	28.693	19.689	20.253	-nan(ind)	19.892	25.427	30.903	33.785	32.585	26.547	14.268	19.786	37.357	20.590	21.816	166.156	95.448	98.735	99.654	99.846	99.826	99.570	95.698	98.630	99.862	98.854	99.031	22525.422	1447.753	258.905	96.531	37.662	23.547	32.410	49.441	18.599	9.392	26.531	26.733	0.306	0.239	0.122	0.119	0.108	0.130	0.162	0.155	0.128	0.116	0.148	0.139	0.164	0.345	0.276	0.098	0.114	0.111	0.104	0.151	0.113	0.110	0.118	0.108	0.279	0.318	0.223	0.143	0.104	0.100	0.093	2.189	--	0.105	--	--	0.252	--	0.406	0.195	0.112	--	--	--	--	0.117	--	--	0.203	0.660	0.707	0.901	0.705	0.668	0.692	0.597	0.327	0.521	0.593	0.585	1.000	1.000	0.333	-0.021	-0.021	0.021	0.000	0.292	-0.208	0.000	0.000	0.000	0.104	0.229	1.146	0.562	0.292	0.167	0.104	0.062	0.042	0.042	0.062	0.062
G:\2020_CATALUNYA_JULY\10_07_2020\_Barranc de la Parallelada III\ZYLIA/output/2020_CATALUNYA_JULYTest2_W_WY.wav	36.250	43.268	48.135	56.496	58.038	62.854	61.221	60.879	60.293	71.566	70.458	72.254	5.914	3.793	-12.712	-33.906	-58.888	-86.637	-107.175	-94.606	-103.322	-119.005	-67.309	-29.333	-32.750	-25.732	-20.865	-12.504	-10.962	-6.146	-7.779	-8.121	-8.707	2.566	-6.542	-6.746	6.875	5.610	13.045	22.621	26.830	26.670	23.184	16.053	21.629	35.967	22.412	23.455	7.888	9.568	19.762	30.392	32.941	31.857	26.504	16.848	23.170	45.841	23.940	25.873	67.127	66.372	95.213	99.427	99.756	99.768	99.485	97.423	99.227	99.971	99.425	99.545	269.178	3860.602	608.632	191.433	41.962	29.679	34.640	48.655	24.459	3.095	18.410	13.643	1.546	3.201	0.222	0.192	0.120	0.127	0.138	0.137	0.130	0.023	0.145	0.149	0.192	0.337	0.352	0.084	0.148	0.114	0.095	0.113	0.101	0.121	0.108	0.128	--	0.318	0.253	0.114	0.123	0.110	0.110	2.179	0.162	0.110	--	0.152	1.455	--	--	0.193	0.139	0.178	--	--	--	0.104	--	--	0.000	0.000	0.246	0.255	0.436	0.448	0.533	0.534	0.205	0.526	0.220	0.232	0.000	0.000	0.542	1.000	0.750	-0.500	0.208	0.146	-0.083	0.292	0.229	0.229	0.000	0.000	1.125	0.042	0.292	0.167	0.083	0.062	0.062	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\10_07_2020\_Barranc de la Parellada I\ZYLIA/output/2020_CATALUNYA_JULYTest1_W_WY.wav	25.925	42.551	51.590	57.788	58.823	65.599	64.121	62.904	62.696	68.767	71.943	72.824	-7.993	-10.636	-23.244	-37.897	-62.699	-91.910	-111.480	-100.942	-107.203	-121.134	-75.698	-34.152	-43.075	-26.449	-17.410	-11.212	-10.177	-3.401	-4.879	-6.096	-6.304	-0.233	-5.057	-6.176	-nan(ind)	12.156	15.142	17.673	22.142	22.159	20.063	17.376	20.149	24.732	20.552	20.950	18.687	20.602	22.479	24.178	26.708	29.142	26.224	20.334	25.423	33.173	25.393	26.325	97.931	94.217	97.004	98.231	99.160	99.338	98.726	97.997	99.039	99.646	99.069	99.193	73106.906	2801.911	1917.563	145.784	105.683	41.404	76.368	47.619	23.036	7.056	32.981	28.103	0.420	0.267	0.233	0.151	0.126	0.089	0.134	0.125	0.115	0.080	0.117	0.119	0.103	0.469	0.226	0.215	0.170	0.129	0.159	0.183	0.129	0.129	0.137	0.133	0.508	0.426	0.310	0.255	0.234	0.176	0.236	--	0.205	0.151	0.241	0.205	0.961	--	0.599	0.414	0.307	0.279	--	1.553	--	0.185	--	--	0.000	0.711	0.595	0.708	0.270	0.383	0.340	0.252	0.206	0.518	0.277	0.252	0.000	0.562	1.000	0.771	-0.438	-0.062	-0.042	0.625	0.125	-0.333	-0.062	-0.062	0.000	1.792	1.208	0.500	0.312	0.146	0.083	0.062	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\10_07_2020\_Barranc de la Parellada I\ZYLIA/output/2020_CATALUNYA_JULYTest2_W_WY.wav	29.568	41.386	51.337	55.773	55.858	57.348	62.796	62.882	59.601	63.599	68.899	69.141	-15.348	-17.247	-23.660	-43.478	-63.708	-90.239	-110.849	-97.783	-106.145	-117.564	-78.237	-39.768	-39.432	-27.614	-17.663	-13.227	-13.142	-11.652	-6.204	-6.118	-9.399	-5.401	-8.101	-9.859	12.153	11.579	15.649	15.301	19.487	17.005	19.839	16.350	16.675	21.666	17.855	17.740	12.942	18.840	23.869	21.464	23.739	21.897	24.789	18.003	20.275	30.019	20.821	21.321	94.237	93.423	97.348	97.037	98.886	98.025	98.953	97.721	97.890	99.321	98.374	98.340	4993.923	1181.338	794.345	157.163	47.178	47.864	39.767	38.413	27.367	19.387	35.078	37.810	0.345	0.381	0.223	0.151	0.145	0.177	0.139	0.126	0.146	0.114	0.135	0.140	0.941	0.316	0.191	0.233	0.164	0.196	0.144	0.184	0.180	0.140	0.161	0.158	0.819	0.305	0.237	0.286	0.258	0.352	0.216	--	--	0.155	--	--	0.651	0.849	0.572	0.369	--	0.951	--	1.654	1.487	0.199	1.522	1.492	0.307	0.261	0.671	0.771	0.621	0.508	0.711	0.661	0.269	0.237	0.589	0.537	1.000	1.000	0.625	-0.208	0.000	0.000	0.000	0.000	0.000	-0.062	0.000	0.000	0.146	0.104	1.021	0.500	0.333	0.146	0.083	0.062	0.042	0.042	0.062	0.042
G:\2020_CATALUNYA_JULY\10_07_2020\_Barranc de la Parellada I\ZYLIA/output/2020_CATALUNYA_JULYTest2_take2_W_WY.wav	31.628	43.823	53.920	58.903	58.432	61.544	63.913	64.040	59.993	65.989	70.337	70.895	-16.995	-19.421	-26.059	-44.557	-58.959	-95.082	-111.231	-94.481	-103.621	-118.765	-90.164	-39.903	-37.372	-25.177	-15.080	-10.097	-10.568	-7.456	-5.087	-4.960	-9.007	-3.011	-6.663	-8.105	11.372	11.804	15.365	16.903	19.693	18.946	18.786	17.403	16.440	22.046	18.148	18.184	12.020	19.249	24.897	23.542	25.109	24.771	24.112	19.398	20.375	30.122	21.914	22.653	92.610	93.716	97.135	97.880	98.921	98.685	98.604	98.206	97.666	99.377	98.446	98.475	5303.625	1234.853	748.370	170.864	60.322	39.133	49.481	43.148	33.661	22.962	39.936	43.517	0.429	0.372	0.225	0.130	0.138	0.158	0.127	0.114	0.159	0.116	0.130	0.137	1.180	0.325	0.149	0.179	0.197	0.131	0.153	0.169	0.168	0.126	0.152	0.144	1.006	0.284	0.218	0.263	0.222	0.212	0.232	--	--	0.150	0.357	0.257	0.942	0.838	0.391	0.327	--	--	--	1.622	1.541	0.188	1.438	--	0.219	0.201	0.646	0.796	0.526	0.615	0.613	0.686	0.283	0.345	0.571	0.528	1.000	1.000	0.812	-0.167	0.000	0.021	0.000	0.000	-0.188	0.000	0.000	0.000	0.104	0.062	1.021	0.500	0.312	0.146	0.083	0.062	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\10_07_2020\_Barranc de la Vall II\ZYLIA/output/2020_CATALUNYA_JULYTest1_W_WY.wav	31.576	47.277	53.067	58.152	58.934	65.612	64.016	62.125	61.326	64.369	71.022	71.395	-3.177	-4.832	-11.629	-33.363	-64.521	-90.673	-108.250	-98.176	-106.374	-121.082	-63.744	-26.773	-37.424	-21.723	-15.933	-10.848	-10.066	-3.388	-4.984	-6.875	-7.674	-4.631	-5.978	-7.605	4.717	13.201	14.914	16.425	20.381	22.404	19.781	17.622	21.935	25.525	20.283	19.984	9.459	14.433	19.794	25.581	26.811	28.744	25.995	20.309	26.239	34.485	25.027	25.176	68.176	93.104	96.734	97.657	99.006	99.364	98.841	98.278	99.300	99.720	99.007	98.978	915.394	1768.350	534.703	82.776	49.651	29.991	40.930	31.309	17.122	10.824	26.208	27.232	1.250	0.613	0.234	0.132	0.108	0.084	0.103	0.128	0.072	0.073	0.091	0.094	0.827	1.063	0.186	0.248	0.126	0.117	0.144	0.159	0.115	0.096	0.133	0.141	0.619	0.474	0.311	0.216	0.183	0.164	0.215	--	0.201	0.131	0.259	0.242	0.564	0.520	0.561	0.316	0.273	0.274	0.318	--	--	0.153	--	--	0.442	0.494	0.557	0.795	0.431	0.562	0.586	0.549	0.458	0.515	0.498	0.477	1.000	1.000	0.083	0.042	-0.083	0.021	0.000	0.000	0.104	-0.083	0.000	0.000	0.354	0.167	0.917	0.521	0.292	0.146	0.104	0.083	0.042	0.042	0.062	0.062
