Acoupar.exe - ISO3382 Acoustical Parameter File
Filename	Lsg_31.5 	Lsg_63   	Lsg_125  	Lsg_250  	Lsg_500  	Lsg_1000 	Lsg_2000 	Lsg_4000 	Lsg_8000 	Lsg_16000	Lsg_A    	Lsg_Lin  	Lno_31.5 	Lno_63   	Lno_125  	Lno_250  	Lno_500  	Lno_1000 	Lno_2000 	Lno_4000 	Lno_8000 	Lno_16000	Lno_A    	Lno_Lin  	StG_31.5 	StG_63   	StG_125  	StG_250  	StG_500  	StG_1000 	StG_2000 	StG_4000 	StG_8000 	StG_16000	StG_A    	StG_Lin  	C50_31.5 	C50_63   	C50_125  	C50_250  	C50_500  	C50_1000 	C50_2000 	C50_4000 	C50_8000 	C50_16000	C50_A    	C50_Lin  	C80_31.5 	C80_63   	C80_125  	C80_250  	C80_500  	C80_1000 	C80_2000 	C80_4000 	C80_8000 	C80_16000	C80_A    	C80_Lin  	D50_31.5 	D50_63   	D50_125  	D50_250  	D50_500  	D50_1000 	D50_2000 	D50_4000 	D50_8000 	D50_16000	D50_A    	D50_Lin  	ts _31.5 	ts _63   	ts _125  	ts _250  	ts _500  	ts _1000 	ts _2000 	ts _4000 	ts _8000 	ts _16000	ts _A    	ts _Lin  	EDT_31.5 	EDT_63   	EDT_125  	EDT_250  	EDT_500  	EDT_1000 	EDT_2000 	EDT_4000 	EDT_8000 	EDT_16000	EDT_A    	EDT_Lin  	Tus_31.5 	Tus_63   	Tus_125  	Tus_250  	Tus_500  	Tus_1000 	Tus_2000 	Tus_4000 	Tus_8000 	Tus_16000	Tus_A    	Tus_Lin  	T20_31.5 	T20_63   	T20_125  	T20_250  	T20_500  	T20_1000 	T20_2000 	T20_4000 	T20_8000 	T20_16000	T20_A    	T20_Lin  	T30_31.5 	T30_63   	T30_125  	T30_250  	T30_500  	T30_1000 	T30_2000 	T30_4000 	T30_8000 	T30_16000	T30_A    	T30_Lin  	IACCe_31.5 	IACCe_63   	IACCe_125  	IACCe_250  	IACCe_500  	IACCe_1000 	IACCe_2000 	IACCe_4000 	IACCe_8000 	IACCe_16000	IACCe_A    	IACCe_Lin  	tIACC_31.5 	tIACC_63   	tIACC_125  	tIACC_250  	tIACC_500  	tIACC_1000 	tIACC_2000 	tIACC_4000 	tIACC_8000 	tIACC_16000	tIACC_A    	tIACC_Lin  	wIACC_31.5 	wIACC_63   	wIACC_125  	wIACC_250  	wIACC_500  	wIACC_1000 	wIACC_2000 	wIACC_4000 	wIACC_8000 	wIACC_16000	wIACC_A    	wIACC_Lin  
D:\Users\adriano\Lavori\2020_CATALUNYA_JULY\21_07_2020\PedraDeLesOrenettes/output/PedraDeLesOrenettesTest2_W_WY.wav	29.192	45.584	52.832	59.733	62.038	67.359	64.582	65.220	62.303	71.050	73.078	74.081	-13.180	-15.119	-25.025	-44.603	-68.380	-98.108	-118.291	-108.012	-118.413	-130.367	-78.390	-42.746	-39.808	-23.416	-16.168	-9.267	-6.962	-1.641	-4.418	-3.780	-6.697	2.050	-3.922	-4.919	12.321	16.848	13.475	17.566	20.386	20.933	17.066	18.484	18.466	26.256	19.468	20.115	17.103	22.960	22.020	25.291	28.230	27.733	22.666	24.395	25.542	35.455	25.586	26.572	93.725	97.671	95.635	97.497	99.083	99.145	97.982	98.463	98.538	99.764	98.819	98.998	31988.936	8104.053	303.178	277.214	31.916	26.884	24.684	27.220	26.965	8.011	21.403	21.338	0.439	0.301	0.234	0.160	0.141	0.115	0.142	0.127	0.141	0.064	0.130	0.127	0.273	0.170	0.206	0.177	0.145	0.127	0.167	0.169	0.144	0.133	0.150	0.151	0.722	0.262	0.226	0.186	0.162	0.166	0.258	0.230	0.189	0.136	0.198	0.183	0.636	0.283	0.311	0.233	0.273	0.278	0.378	0.447	0.264	0.154	0.322	0.286	0.861	0.172	0.218	0.281	0.276	0.548	0.378	0.240	0.264	0.595	0.174	0.136	-1.000	1.000	0.229	-1.000	-0.771	0.542	-0.208	0.938	-0.083	0.021	0.625	0.542	0.938	0.229	1.042	0.500	0.312	0.167	0.104	0.062	0.062	0.042	0.104	0.042
D:\Users\adriano\Lavori\Artsoundscapes\2020_CATALUNYA_JULY\21_07_2020\RocaRoja/output/RocaRojaTest2_W_WY.wav	32.003	49.481	51.430	62.747	64.329	68.563	67.336	64.967	62.790	65.801	73.971	74.382	-17.193	-20.829	-33.330	-51.159	-72.613	-105.091	-121.909	-124.088	-125.789	-133.571	-91.378	-43.215	-36.997	-19.519	-17.570	-6.253	-4.671	-0.437	-1.664	-4.033	-6.210	-3.199	-3.029	-4.618	15.242	17.087	17.500	23.784	25.400	23.793	22.299	20.859	21.855	23.012	22.428	22.347	18.878	25.220	21.942	30.383	33.800	32.366	30.018	28.773	29.563	32.312	30.540	30.330	97.040	97.707	98.157	99.478	99.706	99.584	99.413	99.186	99.320	99.500	99.431	99.419	23938.037	1280.693	106.215	109.224	26.101	16.910	14.997	19.307	24.972	18.620	15.416	18.443	0.355	0.190	0.165	0.066	0.077	0.062	0.067	0.117	0.110	0.109	0.086	0.087	0.192	0.170	0.207	0.167	0.067	0.120	0.113	0.144	0.129	0.123	0.124	0.126	0.274	0.225	0.243	0.144	0.117	0.142	0.152	0.166	0.161	0.144	0.152	0.154	0.625	0.351	0.273	0.174	0.148	0.175	0.212	0.216	0.192	0.164	0.197	0.192	0.000	0.000	0.254	0.554	0.557	0.530	0.493	0.484	0.348	0.189	0.289	0.218	0.000	0.000	1.000	1.000	0.812	0.417	-0.250	0.146	-0.083	-0.167	0.417	0.438	0.000	0.000	0.104	0.062	0.271	0.146	0.104	0.062	0.062	0.042	0.125	0.125
D:\Users\adriano\Lavori\Artsoundscapes\2020_CATALUNYA_JULY\18_07_2020\Apotecari3/output/Apotecari3Test1_W_WY.wav	34.464	44.606	55.965	61.834	63.666	66.046	66.359	65.721	63.227	66.671	73.186	73.794	-3.132	-10.746	-29.082	-41.150	-66.979	-97.520	-118.205	-117.392	-129.519	-131.061	-75.839	-36.414	-34.536	-24.394	-13.035	-7.166	-5.334	-2.954	-2.641	-3.279	-5.773	-2.329	-3.814	-5.206	3.227	14.105	13.365	19.221	19.381	19.914	17.017	18.039	20.717	22.988	18.386	18.199	6.776	18.062	21.166	26.459	29.605	29.713	26.095	27.256	30.168	34.354	27.865	27.596	57.216	96.238	95.358	98.816	98.575	98.632	97.380	98.267	99.117	99.500	98.309	98.391	5849.999	1631.459	315.228	231.382	76.710	67.164	76.946	45.713	29.532	19.138	49.842	51.292	1.134	0.271	0.245	0.154	0.142	0.151	0.178	0.140	0.143	0.124	0.150	0.144	0.430	0.304	0.182	0.152	0.144	0.162	0.158	0.161	0.140	0.112	0.158	0.160	0.391	0.801	0.250	0.191	0.173	0.166	0.177	0.176	0.154	0.127	0.171	0.175	0.536	0.746	0.311	0.193	0.180	0.187	0.200	0.203	0.170	0.139	0.192	0.200	0.000	0.664	0.472	0.628	0.616	0.404	0.367	0.310	0.306	0.262	0.269	0.307	0.000	1.000	-0.771	0.000	0.104	0.042	-0.042	-0.250	-0.083	-0.083	0.000	0.000	0.000	0.229	0.833	0.500	0.312	0.146	0.083	0.062	0.042	0.042	0.083	0.083
D:\Users\adriano\Lavori\Artsoundscapes\2020_CATALUNYA_JULY\18_07_2020\Apotecari3/output/Apotecari3Test2_W_WY.wav	32.900	48.794	56.111	64.175	66.573	70.467	68.766	65.710	62.452	70.042	75.465	76.160	2.855	-2.122	-13.486	-49.928	-71.734	-99.894	-118.541	-117.566	-130.166	-130.681	-69.522	-32.686	-36.100	-20.206	-12.889	-4.825	-2.427	1.467	-0.234	-3.290	-6.548	1.042	-1.535	-2.840	2.855	13.196	13.126	14.392	19.078	22.330	19.301	18.745	19.830	25.339	20.168	19.319	5.429	17.442	18.243	25.991	29.133	31.282	29.780	27.541	29.024	36.094	29.783	29.045	55.387	94.166	95.326	96.450	98.758	99.322	98.839	98.670	98.967	99.708	99.035	98.844	5387.453	291.956	298.573	84.257	29.502	41.013	26.341	28.738	27.382	15.094	28.245	29.151	1.440	0.293	0.176	0.146	0.118	0.130	0.131	0.137	0.145	0.100	0.144	0.144	0.338	0.345	0.293	0.245	0.118	0.127	0.127	0.151	0.130	0.099	0.128	0.132	0.397	0.661	0.304	0.199	0.162	0.134	0.159	0.163	0.155	0.121	0.149	0.158	0.684	0.671	0.334	0.220	0.167	0.155	0.182	0.201	0.185	0.137	0.174	0.186	0.000	0.597	0.000	0.351	0.272	0.194	0.175	0.276	0.176	0.341	0.109	0.110	0.000	1.000	0.000	-1.000	0.979	-0.708	-0.938	-0.958	0.188	0.021	-0.917	-0.917	0.000	0.375	0.000	0.750	0.292	0.146	0.104	0.062	0.042	0.042	0.083	0.083
G:\2020_CATALUNYA_JULY\13_07_2020\CabraFeixet/output/2020_CATALUNYA_JULYTest1_W_WY.wav	32.053	49.656	56.384	57.545	60.944	65.999	65.787	62.148	59.770	64.186	71.473	71.990	4.941	-3.352	-20.547	-46.757	-71.412	-105.811	-130.806	-134.826	-136.226	-132.621	-65.025	-26.107	-36.947	-19.344	-12.616	-11.455	-8.056	-3.001	-3.213	-6.852	-9.230	-4.814	-5.527	-7.010	-nan(ind)	16.831	18.289	15.862	21.449	24.834	22.659	19.842	22.010	22.813	22.068	21.376	-nan(ind)	19.928	21.985	25.924	31.982	35.037	33.655	31.038	33.266	35.247	33.083	30.357	45.401	97.238	98.524	97.384	99.216	99.651	99.412	98.946	99.369	99.466	99.360	99.268	573.482	688.240	263.902	83.960	38.487	22.947	40.946	33.966	16.207	17.397	27.376	27.916	1.242	0.163	0.178	0.196	0.129	0.094	0.119	0.160	0.129	0.134	0.130	0.129	0.435	0.150	0.170	0.207	0.156	0.144	0.127	0.137	0.146	0.122	0.146	0.148	0.512	0.669	0.240	0.197	0.161	0.140	0.137	0.142	0.150	0.131	0.146	0.154	--	0.632	0.337	0.200	0.162	0.148	0.144	0.152	0.154	0.137	0.153	0.179	0.189	0.817	0.831	0.539	0.791	0.747	0.782	0.525	0.300	0.294	0.631	0.603	1.000	1.000	0.979	0.062	-0.042	0.062	0.000	0.000	0.125	0.000	0.000	0.000	0.188	0.333	1.188	0.542	0.292	0.167	0.104	0.062	0.042	0.042	0.083	0.062
G:\2020_CATALUNYA_JULY\13_07_2020\CabraFeixet/output/2020_CATALUNYA_JULYTest2_W_WY.wav	38.156	47.782	53.109	56.873	61.145	65.301	64.691	63.553	60.222	63.887	71.411	71.766	8.162	4.518	-19.254	-52.122	-77.579	-112.943	-127.350	-132.254	-136.215	-132.516	-69.712	-21.528	-30.844	-21.218	-15.891	-12.127	-7.855	-3.699	-4.309	-5.447	-8.778	-5.113	-5.589	-7.234	6.998	12.572	15.862	18.694	22.455	22.006	22.026	22.546	21.131	23.469	22.093	21.260	9.113	16.329	18.961	24.708	31.529	35.860	33.070	33.029	32.392	35.579	33.413	29.577	77.605	86.612	97.428	98.350	99.354	99.230	99.197	99.297	99.235	99.548	99.265	99.178	53.885	2392.941	533.131	102.170	51.890	48.032	42.470	38.961	22.379	15.174	33.834	34.381	1.148	0.730	0.201	0.222	0.113	0.121	0.141	0.119	0.130	0.120	0.132	0.132	0.547	1.201	0.144	0.149	0.103	0.147	0.140	0.141	0.139	0.133	0.146	0.151	1.130	0.231	0.296	0.181	0.133	0.136	0.138	0.140	0.146	0.134	0.137	0.150	0.871	0.370	0.261	0.206	0.154	0.139	0.144	0.152	0.153	0.140	0.147	0.181	0.040	0.000	0.009	0.308	0.436	0.359	0.331	0.341	0.215	0.179	0.128	0.113	1.000	0.000	-1.000	1.000	0.812	-0.417	-0.229	0.146	-0.042	-0.188	0.417	0.417	0.042	0.000	0.021	0.646	0.292	0.146	0.083	0.042	0.042	0.042	0.083	0.062
G:\2020_CATALUNYA_JULY\13_07_2020\Caparrel/output/CaparrelTest1_W_WY.wav	18.934	34.187	42.493	47.826	49.405	55.311	55.177	52.955	50.209	55.762	61.577	61.979	-12.881	-15.403	-31.373	-55.564	-81.246	-101.145	-124.518	-129.376	-136.833	-135.458	-85.009	-46.467	-50.066	-34.813	-26.507	-21.174	-19.595	-13.689	-13.823	-16.045	-18.791	-13.238	-15.423	-17.021	8.007	7.723	10.123	11.892	11.944	13.186	10.177	9.735	10.988	15.693	11.388	11.740	10.112	11.380	15.108	17.330	17.927	17.500	15.630	13.928	16.618	22.174	16.158	16.623	83.772	84.785	90.790	93.531	92.849	92.103	87.469	88.695	91.669	97.363	90.897	92.276	22797.049	8576.741	692.285	355.581	146.663	119.454	134.764	85.727	62.982	16.646	85.530	80.448	0.731	0.441	0.320	0.267	0.289	0.268	0.390	0.353	0.291	0.253	0.350	0.329	0.574	0.547	0.450	0.346	0.290	0.352	0.368	0.358	0.306	0.246	0.352	0.344	0.640	0.717	0.373	0.334	0.352	0.385	0.426	0.418	0.367	0.263	0.392	0.381	0.860	0.861	0.450	0.382	0.448	0.485	0.497	0.506	0.416	0.288	0.480	0.466	0.000	0.453	0.641	0.505	0.506	0.111	0.265	0.337	0.195	0.318	0.162	0.159	0.000	0.938	1.000	-0.312	0.000	-0.438	-0.208	0.208	0.188	0.125	0.208	0.208	0.000	1.646	0.250	0.562	0.333	0.125	0.083	0.062	0.062	0.042	0.042	0.062
G:\2020_CATALUNYA_JULY\13_07_2020\Caparrel/output/CaparrelTest1_take2_W_WY.wav	22.765	38.926	46.670	52.608	53.745	58.792	59.348	57.250	54.671	57.487	65.426	65.737	-9.983	-11.885	-22.336	-43.811	-74.642	-101.294	-119.893	-126.052	-128.124	-131.817	-75.022	-38.382	-46.235	-30.074	-22.330	-16.392	-15.255	-10.208	-9.652	-11.750	-14.329	-11.513	-11.574	-13.263	9.052	6.713	8.625	10.211	11.170	13.566	10.987	10.958	11.961	14.284	11.893	11.738	11.842	11.210	14.490	15.624	17.717	17.661	16.869	15.952	17.353	20.887	17.060	17.057	87.805	81.681	87.347	90.604	91.728	92.999	88.915	90.728	93.160	96.398	91.643	92.240	30887.080	8823.393	615.206	597.934	209.719	131.861	149.984	88.045	72.607	24.602	100.986	107.960	0.573	0.485	0.391	0.332	0.313	0.270	0.361	0.324	0.273	0.268	0.331	0.321	0.523	0.525	0.413	0.361	0.309	0.346	0.313	0.319	0.273	0.203	0.324	0.317	0.455	0.584	0.353	0.332	0.334	0.373	0.376	0.390	0.332	0.257	0.360	0.356	0.441	0.872	0.441	0.378	0.431	0.463	0.472	0.492	0.398	0.291	0.457	0.447	0.000	0.142	0.416	0.440	0.538	0.128	0.284	0.494	0.368	0.334	0.198	0.184	0.000	-0.188	1.000	-0.438	-0.083	-0.375	-0.208	0.188	-0.083	0.125	0.208	0.208	0.000	1.438	0.146	0.604	0.354	0.125	0.104	0.062	0.042	0.042	0.062	0.062
G:\2020_CATALUNYA_JULY\13_07_2020\Caparrel/output/CaparrelTest2_W_WY.wav	26.733	43.561	49.682	53.806	56.762	59.429	57.887	56.861	52.437	59.961	65.041	65.884	-11.966	-15.432	-34.958	-55.892	-76.377	-102.065	-122.139	-124.526	-133.511	-133.392	-91.637	-36.481	-42.267	-25.439	-19.318	-15.194	-12.238	-9.571	-11.113	-12.139	-16.563	-9.039	-11.959	-13.116	10.099	8.912	9.279	9.446	11.818	12.915	9.892	9.915	10.437	16.071	11.163	11.343	12.779	12.455	18.668	15.531	18.841	18.794	15.433	15.657	15.536	22.729	16.811	17.149	91.064	88.425	88.739	89.283	93.615	94.838	89.855	90.350	91.622	97.456	92.482	92.904	2414.604	987.792	210.148	207.749	68.576	53.411	66.112	72.809	46.417	32.692	57.585	59.566	0.506	0.377	0.325	0.329	0.247	0.229	0.280	0.272	0.268	0.172	0.257	0.253	0.566	0.428	0.148	0.288	0.195	0.217	0.296	0.271	0.292	0.190	0.257	0.256	0.775	0.346	0.349	0.321	0.258	0.294	0.380	0.386	0.367	0.228	0.342	0.327	0.706	0.684	0.375	0.351	0.366	0.381	0.446	0.440	0.403	0.265	0.414	0.400	0.002	0.000	0.000	0.115	0.262	0.152	0.142	0.278	0.202	0.238	0.082	0.052	1.000	0.000	0.000	1.000	0.875	0.417	0.229	0.167	-0.188	0.271	0.208	0.667	0.021	0.000	0.000	0.042	0.354	0.146	0.104	0.062	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\13_07_2020\CabraFeixet/output/2020_CATALUNYA_JULYTest1_W_WY.wav	32.053	49.656	56.384	57.545	60.944	65.999	65.787	62.148	59.770	64.186	71.473	71.990	4.941	-3.352	-20.547	-46.757	-71.412	-105.811	-130.806	-134.826	-136.226	-132.621	-65.025	-26.107	-36.947	-19.344	-12.616	-11.455	-8.056	-3.001	-3.213	-6.852	-9.230	-4.814	-5.527	-7.010	-nan(ind)	16.831	18.289	15.862	21.449	24.834	22.659	19.842	22.010	22.813	22.068	21.376	-nan(ind)	19.928	21.985	25.924	31.982	35.037	33.655	31.038	33.266	35.247	33.083	30.357	45.401	97.238	98.524	97.384	99.216	99.651	99.412	98.946	99.369	99.466	99.360	99.268	573.482	688.240	263.902	83.960	38.487	22.947	40.946	33.966	16.207	17.397	27.376	27.916	1.048	0.167	0.160	0.202	0.125	0.091	0.134	0.166	0.143	0.158	0.135	0.137	0.600	0.148	0.171	0.229	0.191	0.158	0.115	0.133	0.144	0.118	0.139	0.146	0.549	1.149	0.291	0.186	0.160	0.153	0.134	0.140	0.145	0.127	0.141	0.150	--	0.992	0.380	0.198	0.163	0.144	0.141	0.153	0.151	0.136	0.148	0.175	0.189	0.817	0.831	0.539	0.791	0.747	0.782	0.525	0.300	0.294	0.631	0.603	1.000	1.000	0.979	0.062	-0.042	0.062	0.000	0.000	0.125	0.000	0.000	0.000	0.188	0.333	1.188	0.542	0.292	0.167	0.104	0.062	0.042	0.042	0.083	0.062
