Acoupar.exe - ISO3382 Acoustical Parameter File
Filename	Lsg_31.5 	Lsg_63   	Lsg_125  	Lsg_250  	Lsg_500  	Lsg_1000 	Lsg_2000 	Lsg_4000 	Lsg_8000 	Lsg_16000	Lsg_A    	Lsg_Lin  	Lno_31.5 	Lno_63   	Lno_125  	Lno_250  	Lno_500  	Lno_1000 	Lno_2000 	Lno_4000 	Lno_8000 	Lno_16000	Lno_A    	Lno_Lin  	StG_31.5 	StG_63   	StG_125  	StG_250  	StG_500  	StG_1000 	StG_2000 	StG_4000 	StG_8000 	StG_16000	StG_A    	StG_Lin  	C50_31.5 	C50_63   	C50_125  	C50_250  	C50_500  	C50_1000 	C50_2000 	C50_4000 	C50_8000 	C50_16000	C50_A    	C50_Lin  	C80_31.5 	C80_63   	C80_125  	C80_250  	C80_500  	C80_1000 	C80_2000 	C80_4000 	C80_8000 	C80_16000	C80_A    	C80_Lin  	D50_31.5 	D50_63   	D50_125  	D50_250  	D50_500  	D50_1000 	D50_2000 	D50_4000 	D50_8000 	D50_16000	D50_A    	D50_Lin  	ts _31.5 	ts _63   	ts _125  	ts _250  	ts _500  	ts _1000 	ts _2000 	ts _4000 	ts _8000 	ts _16000	ts _A    	ts _Lin  	EDT_31.5 	EDT_63   	EDT_125  	EDT_250  	EDT_500  	EDT_1000 	EDT_2000 	EDT_4000 	EDT_8000 	EDT_16000	EDT_A    	EDT_Lin  	Tus_31.5 	Tus_63   	Tus_125  	Tus_250  	Tus_500  	Tus_1000 	Tus_2000 	Tus_4000 	Tus_8000 	Tus_16000	Tus_A    	Tus_Lin  	T20_31.5 	T20_63   	T20_125  	T20_250  	T20_500  	T20_1000 	T20_2000 	T20_4000 	T20_8000 	T20_16000	T20_A    	T20_Lin  	T30_31.5 	T30_63   	T30_125  	T30_250  	T30_500  	T30_1000 	T30_2000 	T30_4000 	T30_8000 	T30_16000	T30_A    	T30_Lin  	Jlf_31.5 	Jlf_63   	Jlf_125  	Jlf_250  	Jlf_500  	Jlf_1000 	Jlf_2000 	Jlf_4000 	Jlf_8000 	Jlf_16000	Jlf_A    	Jlf_Lin  	Jlfc_31.5 	Jlfc_63   	Jlfc_125  	Jlfc_250  	Jlfc_500  	Jlfc_1000 	Jlfc_2000 	Jlfc_4000 	Jlfc_8000 	Jlfc_16000	Jlfc_A    	Jlfc_Lin  	Lj _31.5 	Lj _63   	Lj _125  	Lj _250  	Lj _500  	Lj _1000 	Lj _2000 	Lj _4000 	Lj _8000 	Lj _16000	Lj _A    	Lj _Lin  
H:\2020_CATALUNYA_JULY\11_07_2020\BarrancDeLesTaules\ZYLIA\output\2020_CATALUNYA_JULYTest1_W_WY.wav	46.032	55.009	60.743	64.506	66.529	71.199	71.459	67.918	65.001	67.537	76.982	77.230	-10.995	-14.112	-19.300	-35.260	-61.279	-101.165	-110.842	-104.425	-112.999	-128.957	-75.856	-27.530	-22.968	-13.991	-8.257	-4.494	-2.471	2.199	2.459	-1.082	-3.999	-1.463	-0.018	-1.770	14.727	17.543	17.675	22.809	27.777	29.041	25.462	20.711	20.665	22.734	24.410	24.435	18.240	24.954	32.736	34.581	36.893	35.524	32.569	28.129	29.704	32.731	31.866	32.370	96.742	98.270	98.321	99.479	99.833	99.875	99.716	99.158	99.149	99.470	99.639	99.641	57.924	31.390	23.541	13.265	8.511	4.972	6.415	10.605	11.265	11.139	6.315	6.568	0.342	0.257	0.249	0.144	0.092	0.084	0.090	0.122	0.129	0.129	0.095	0.098	0.219	0.197	0.141	0.098	0.068	0.136	0.102	0.120	0.121	0.103	0.108	0.111	0.324	0.217	0.138	0.132	0.097	0.103	0.125	0.156	0.152	0.132	0.134	0.133	0.382	0.302	0.132	0.141	0.132	0.151	0.171	0.312	0.197	0.150	0.188	0.179	0.001	0.006	0.036	0.083	0.083	0.023	0.069	0.127	0.161	0.276	0.077	0.081	0.011	0.044	0.084	0.165	0.128	0.046	0.128	0.200	0.212	0.290	0.120	0.123	-67.392	-57.592	-56.316	-46.600	-42.847	-38.663	-34.217	-34.355	-37.758	-38.860	-36.529	-38.925
H:\2020_CATALUNYA_JULY\11_07_2020\BarrancDeLesTaules\ZYLIA\output\2020_CATALUNYA_JULYTest2_W_WY.wav	48.651	53.794	58.164	64.658	70.179	73.306	69.681	68.193	62.568	74.714	77.750	78.777	-8.816	-15.425	-25.597	-28.191	-54.751	-88.546	-106.994	-97.897	-109.754	-124.726	-73.537	-27.426	-20.349	-15.206	-10.836	-4.342	1.179	4.306	0.681	-0.807	-6.432	5.714	0.750	-0.223	15.469	15.472	18.463	20.763	29.123	26.858	22.439	20.968	19.609	28.914	24.099	24.829	19.194	19.411	32.808	33.355	36.922	36.078	29.543	26.226	26.978	38.018	31.007	32.330	97.240	97.242	98.595	99.168	99.878	99.794	99.433	99.206	98.918	99.872	99.612	99.672	54.805	34.823	28.794	15.853	12.090	8.781	9.099	11.435	12.290	5.832	8.364	8.096	0.339	0.312	0.226	0.151	0.101	0.099	0.101	0.115	0.140	0.056	0.099	0.098	0.219	0.181	0.105	0.094	0.071	0.069	0.126	0.088	0.140	0.063	0.094	0.091	0.317	0.303	0.106	0.126	0.104	0.102	0.151	0.164	0.172	0.100	0.127	0.123	--	--	0.148	0.139	0.127	0.131	0.208	--	--	0.128	0.218	0.178	0.000	0.017	0.192	0.128	0.045	0.181	0.306	0.168	0.344	0.090	0.183	0.153	0.007	0.069	0.126	0.210	0.132	0.219	0.275	0.262	0.355	0.178	0.220	0.205	-73.185	-53.705	-46.658	-45.810	-42.156	-36.356	-34.578	-32.310	-36.669	-37.886	-35.291	-37.674
H:\2020_CATALUNYA_JULY\11_07_2020\ElsArcs1\ZYLIA\output\2020_CATALUNYA_JULYTest1_W_WY.wav	41.260	54.366	57.716	65.213	62.894	70.835	67.905	63.455	60.229	66.419	74.651	75.217	0.558	5.215	-10.646	-37.482	-64.171	-96.133	-113.923	-97.423	-108.338	-121.008	-68.043	-17.447	-27.740	-14.634	-11.284	-3.787	-6.106	1.835	-1.095	-5.545	-8.771	-2.581	-2.349	-3.783	10.158	17.727	19.803	24.808	26.739	28.445	24.794	17.878	20.916	26.607	24.180	24.232	11.662	18.623	22.423	29.121	30.004	31.274	27.273	19.958	23.878	31.976	26.652	26.900	91.205	98.340	98.964	99.671	99.789	99.857	99.669	98.396	99.197	99.782	99.620	99.624	58.625	30.013	18.293	8.709	6.317	4.118	3.578	6.699	4.370	2.919	3.341	3.442	0.398	0.229	0.129	0.046	0.064	0.033	0.040	0.094	0.072	0.023	0.042	0.044	--	0.172	0.120	0.063	0.063	0.037	0.083	0.084	0.164	0.207	0.069	0.073	1.516	0.891	--	--	0.097	0.071	0.182	--	0.355	0.150	--	0.181	1.408	1.339	0.613	--	--	--	0.485	1.564	--	0.217	--	--	0.018	0.002	0.002	0.002	0.011	0.005	0.010	0.026	0.055	0.031	0.012	0.011	0.036	0.015	0.010	0.008	0.029	0.015	0.022	0.053	0.054	0.035	0.027	0.027	-38.939	-35.255	-41.478	-43.822	-43.609	-36.477	-34.737	-31.678	-35.380	-38.361	-34.961	-36.144
H:\2020_CATALUNYA_JULY\11_07_2020\ElsArcs1\ZYLIA\output\2020_CATALUNYA_JULYTest2_W_WY.wav	40.983	54.440	58.182	64.158	63.813	70.865	70.472	68.537	60.703	66.564	76.426	76.456	-5.743	-14.243	-14.489	-41.501	-74.750	-100.401	-111.246	-98.795	-106.049	-122.013	-79.781	-29.612	-28.017	-14.560	-10.818	-4.842	-5.187	1.865	1.472	-0.463	-8.297	-2.436	-0.574	-2.544	12.016	18.877	19.156	23.432	26.302	28.182	28.299	23.348	21.004	25.502	26.167	25.465	14.210	20.635	23.302	28.372	29.444	30.756	30.855	24.959	23.336	31.920	28.434	28.230	94.085	98.721	98.800	99.548	99.766	99.848	99.852	99.539	99.213	99.719	99.759	99.717	50.347	29.280	17.685	8.910	8.055	4.239	3.233	3.218	4.696	2.695	2.890	3.149	0.377	0.239	0.121	0.060	0.120	0.047	0.028	0.009	0.082	0.019	0.047	0.065	0.593	0.146	0.128	0.073	0.053	0.080	0.091	--	0.115	0.173	0.102	0.097	1.211	0.440	0.426	--	0.074	0.076	0.080	--	--	0.159	0.103	0.117	0.921	0.705	0.612	0.402	--	--	--	--	--	0.217	--	--	0.002	0.001	0.007	0.012	0.082	0.013	0.017	0.016	0.056	0.029	0.018	0.020	0.015	0.016	0.038	0.025	0.127	0.029	0.023	0.018	0.073	0.032	0.029	0.035	-54.148	-51.307	-45.038	-43.168	-41.468	-37.037	-34.845	-30.543	-35.660	-38.990	-34.520	-36.838
H:\2020_CATALUNYA_JULY\11_07_2020\ElsArcs3\ZYLIA\output\2020_CATALUNYA_JULYTest1_W_WY.wav	40.620	55.196	56.822	59.194	64.991	71.666	70.662	64.770	61.189	68.940	76.267	76.349	11.403	6.609	-17.712	-31.554	-72.041	-92.538	-110.054	-96.733	-102.733	-118.005	-68.880	-17.523	-28.380	-13.804	-12.178	-9.806	-4.009	2.666	1.662	-4.230	-7.811	-0.060	-0.733	-2.651	8.041	14.052	16.345	17.490	25.150	27.626	24.266	18.171	19.883	28.397	23.766	23.260	12.119	14.900	19.275	22.601	27.808	29.784	27.145	19.632	22.327	33.378	26.005	25.644	86.431	96.215	97.733	98.249	99.695	99.828	99.627	98.499	98.983	99.856	99.582	99.530	57.529	28.380	16.284	10.802	5.869	3.879	3.174	5.899	5.058	2.274	2.968	3.022	0.610	0.198	0.140	0.077	0.033	0.024	0.018	0.030	0.052	0.016	0.019	0.020	0.752	--	0.249	--	0.032	0.022	0.029	--	0.124	0.051	0.032	0.041	--	0.652	0.537	0.344	--	--	--	--	--	0.110	--	--	--	0.767	0.552	0.459	0.321	--	0.331	0.866	0.829	0.186	0.614	0.587	0.063	0.002	0.002	0.023	0.005	0.004	0.004	0.015	0.047	0.016	0.007	0.008	0.072	0.010	0.016	0.076	0.016	0.009	0.010	0.026	0.058	0.018	0.013	0.015	-35.495	-34.253	-41.705	-42.326	-40.822	-34.827	-32.239	-29.874	-33.958	-38.333	-33.057	-34.452
H:\2020_CATALUNYA_JULY\11_07_2020\ElsArcs3\ZYLIA\output\2020_CATALUNYA_JULYTest2_W_WY.wav	39.747	54.773	56.202	58.561	63.614	69.570	68.901	65.627	60.503	68.465	74.820	75.026	-7.265	-17.163	-38.141	-39.700	-76.100	-96.824	-111.572	-97.437	-104.945	-119.041	-79.347	-26.741	-29.253	-14.227	-12.798	-10.439	-5.386	0.570	-0.099	-3.373	-8.497	-0.535	-2.180	-3.974	9.788	13.581	15.650	14.440	22.626	24.292	23.848	19.182	19.086	28.792	22.458	21.779	13.313	14.720	18.251	19.199	25.439	28.810	26.126	20.893	21.401	33.875	25.026	24.587	90.497	95.800	97.350	96.527	99.457	99.629	99.589	98.807	98.781	99.868	99.435	99.341	53.498	28.905	16.739	13.161	6.548	4.920	4.007	5.745	5.842	2.850	3.905	3.951	0.531	0.198	0.132	0.158	0.032	0.022	0.015	0.030	0.051	0.019	0.020	0.023	0.487	--	0.231	0.275	0.042	0.069	0.046	0.091	0.139	0.046	0.065	0.075	--	0.457	0.532	0.360	--	0.159	--	--	--	0.107	0.232	0.260	--	0.685	0.617	0.426	0.275	0.281	0.388	0.859	0.834	0.173	0.651	0.611	0.001	0.001	0.004	0.017	0.014	0.009	0.016	0.027	0.047	0.017	0.016	0.016	0.009	0.007	0.018	0.049	0.018	0.020	0.021	0.035	0.055	0.020	0.025	0.026	-49.583	-44.725	-44.864	-40.790	-39.963	-34.778	-32.866	-30.155	-35.323	-40.327	-33.528	-35.763
H:\2020_CATALUNYA_JULY\11_07_2020\ElsArcsIV\ZYLIA\output\2020_CATALUNYA_JULYTest1_W_WY.wav	39.921	54.167	61.746	63.525	64.932	71.581	69.889	66.117	61.457	64.255	75.890	76.166	-6.827	-14.640	-14.947	-41.016	-71.952	-92.607	-106.524	-100.631	-110.314	-122.201	-76.882	-40.375	-29.079	-14.833	-7.254	-5.475	-4.068	2.581	0.889	-2.883	-7.543	-4.745	-1.110	-2.834	10.751	16.467	17.818	19.665	24.762	26.985	23.435	21.007	19.923	22.724	23.699	22.813	14.847	19.089	19.504	22.037	27.696	28.034	25.025	22.766	23.177	27.318	25.394	24.815	92.240	97.794	98.374	98.931	99.667	99.800	99.549	99.213	98.992	99.469	99.575	99.480	53.350	26.007	18.327	18.145	6.238	4.352	4.270	4.875	5.615	5.107	3.737	4.292	0.495	0.293	0.130	0.172	0.036	0.018	0.021	0.054	0.078	0.072	0.016	0.042	0.437	0.244	0.056	0.114	0.093	--	--	0.113	0.119	0.115	--	0.095	0.833	0.567	--	--	0.154	0.083	--	--	0.313	0.176	--	--	0.810	0.614	0.464	0.414	--	--	0.391	0.697	0.530	0.278	0.407	0.415	0.001	0.002	0.002	0.020	0.021	0.007	0.012	0.018	0.075	0.081	0.014	0.016	0.009	0.012	0.014	0.088	0.032	0.013	0.023	0.028	0.076	0.084	0.022	0.029	-60.044	-52.644	-40.397	-38.187	-38.216	-33.583	-30.246	-30.919	-35.949	-36.853	-32.818	-34.971
H:\2020_CATALUNYA_JULY\11_07_2020\ElsArcsIV\ZYLIA\output\2020_CATALUNYA_JULYTest2_W_WY.wav	39.241	53.255	60.760	64.390	64.468	71.831	68.615	64.416	59.669	64.874	75.420	75.830	-13.174	-4.989	-20.140	-53.220	-75.522	-96.429	-112.436	-101.974	-105.003	-117.226	-76.479	-27.054	-29.759	-15.745	-8.240	-4.610	-4.532	2.831	-0.385	-4.584	-9.331	-4.126	-1.580	-3.170	10.960	16.667	16.539	20.675	20.993	25.832	22.845	18.203	18.759	21.843	22.812	22.071	14.872	19.443	17.968	22.312	24.691	29.836	24.603	20.132	20.743	26.258	25.137	24.400	92.578	97.891	97.829	99.151	99.211	99.740	99.483	98.510	98.687	99.350	99.479	99.383	53.464	26.627	18.340	18.612	6.860	4.988	5.096	6.506	6.087	5.697	4.458	5.075	0.458	0.298	0.125	0.176	0.054	0.039	0.071	0.081	0.079	0.089	0.066	0.074	0.436	0.255	0.055	--	0.113	0.079	0.099	0.114	0.131	0.124	0.085	0.100	0.912	0.514	0.456	--	0.265	0.096	--	--	--	0.186	--	--	0.715	0.658	0.469	0.402	0.330	--	0.409	0.835	0.793	0.282	0.533	0.494	0.001	0.002	0.007	0.023	0.032	0.020	0.035	0.045	0.081	0.065	0.029	0.029	0.013	0.016	0.037	0.067	0.045	0.035	0.051	0.060	0.081	0.082	0.043	0.050	-61.764	-53.447	-43.127	-39.249	-37.914	-32.706	-29.823	-30.346	-35.148	-37.529	-32.044	-34.394
H:\2020_CATALUNYA_JULY\11_07_2020\EstretDeLesTaules\ZYLIA\output\2020_CATALUNYA_JULYTest1_W_WY.wav	46.341	63.888	70.799	68.211	68.935	72.553	70.710	69.304	67.123	73.654	77.821	79.636	-13.881	-11.519	-8.599	-36.870	-56.700	-87.676	-105.294	-97.902	-109.424	-123.292	-74.113	-29.248	-22.659	-5.112	1.799	-0.789	-0.065	3.553	1.710	0.304	-1.877	4.654	0.821	0.636	12.567	17.125	25.871	23.350	28.762	28.592	24.242	23.324	25.451	32.788	25.415	25.694	17.226	23.932	33.303	26.087	31.188	30.485	25.769	24.932	27.604	38.273	27.183	28.390	94.754	98.098	99.742	99.540	99.867	99.862	99.625	99.537	99.716	99.947	99.713	99.731	51.378	25.071	16.287	15.793	5.586	4.579	5.087	5.101	3.679	3.140	3.882	4.386	0.447	0.179	0.134	0.128	0.026	0.022	0.036	0.029	0.027	0.031	0.030	0.041	0.325	0.147	0.123	0.062	0.036	0.042	0.072	0.055	0.066	0.057	0.064	0.105	0.418	0.303	0.121	0.192	0.129	0.168	0.206	--	0.163	0.071	0.172	0.146	0.761	0.511	0.170	--	--	--	0.739	1.317	--	0.123	--	--	0.002	0.001	0.003	0.021	0.015	0.008	0.030	0.038	0.027	0.041	0.027	0.021	0.016	0.012	0.019	0.087	0.023	0.017	0.054	0.059	0.035	0.045	0.045	0.044	-62.348	-50.060	-41.896	-37.107	-34.163	-29.343	-27.774	-28.436	-33.502	-38.397	-29.922	-32.205
H:\2020_CATALUNYA_JULY\11_07_2020\EstretDeLesTaules\ZYLIA\output\2020_CATALUNYA_JULYTest2_W_WY.wav	42.943	61.522	67.468	66.159	64.252	72.366	67.456	65.509	62.558	66.100	75.515	76.836	-6.206	-5.039	-7.591	-37.123	-57.855	-102.683	-110.840	-97.416	-102.129	-117.765	-70.415	-27.975	-26.057	-7.478	-1.532	-2.841	-4.748	3.366	-1.544	-3.491	-6.442	-2.900	-1.485	-2.164	15.176	17.009	24.140	21.777	24.704	29.685	22.795	18.747	21.244	27.896	23.764	24.123	18.366	24.173	30.557	24.609	27.727	31.196	23.887	19.948	22.723	31.497	25.048	25.989	97.053	98.048	99.616	99.340	99.663	99.893	99.477	98.683	99.255	99.838	99.581	99.614	46.854	24.664	14.511	13.792	6.307	3.957	5.707	6.793	5.521	4.759	4.046	4.176	0.409	0.183	0.127	0.115	0.056	0.031	0.057	0.053	0.055	0.051	0.038	0.039	0.241	0.154	0.156	0.060	0.047	0.031	0.069	0.099	0.082	0.072	0.061	0.068	0.478	0.252	0.158	--	--	0.093	--	--	--	0.112	--	0.172	0.651	0.409	0.194	--	--	--	0.519	0.856	0.789	--	0.662	--	0.000	0.003	0.005	0.017	0.027	0.014	0.033	0.025	0.035	0.067	0.024	0.021	0.005	0.016	0.022	0.066	0.043	0.024	0.069	0.057	0.061	0.084	0.044	0.040	-61.033	-52.319	-47.050	-35.975	-36.398	-29.955	-27.962	-27.477	-32.916	-39.674	-29.792	-32.191
